,bed rooms,baths,square feet,address,price
292,4,2,2500,"8021 S Maplewood Avenue Chicago, IL 60652",335900.0
293,3,2,1206,"14105 S Manistee Avenue Burnham, IL 60633",250000.0
294,1,1,726,"300 N State Street 2630 Chicago, IL 60654",249900.0
295,3,1,1200,"8722 S Justine Street Chicago, IL 60620",243900.0
296,3,2,1200,"7920 S Avalon Avenue Chicago, IL 60619",205000.0
297,2,1,1200,"1526 S 51st Court 24 Cicero, IL 60804",149999.0
298,3,2,1657,"8955 S Union Avenue Chicago, IL 60620",149900.0
299,2,1,900,"333 W 107th Place Chicago, IL 60628",34900.0
300,4,3,4076,"1345 S Federal Street Chicago, IL 60605",2000000.0
301,4,4,3735,"229 E Lake Shore Drive 10E Chicago, IL 60611",1375000.0
302,3,3,3900,"3438 N Kolmar Avenue Chicago, IL 60641",950000.0
303,3,2,2200,"925 N Larrabee Street 2S Chicago, IL 60610",899900.0
304,3,3,2133,"623 W Drummond Place 14 Chicago, IL 60614",875000.0
305,3,3,2409,"1851 W Berenice Avenue 2 Chicago, IL 60613",799900.0
306,4,3,4400,"4951 S Vincennes Avenue Chicago, IL 60615",777000.0
307,3,3,2100,"860 N ELSTON Avenue 4 Chicago, IL 60642",729900.0
308,2,2,1500,"3534 N HERMITAGE Avenue 302 Chicago, IL 60657",675000.0
309,3,3,5159,"6010 N Avondale Avenue Chicago, IL 60631",589000.0
310,2,2,1704,"70 E 18th Street 3D Chicago, IL 60616",550000.0
311,2,2,1400,"900 N KINGSBURY Street 859 Chicago, IL 60610",465000.0
312,3,3,2400,"5691 W Higgins Avenue 1W Chicago, IL 60630",450000.0
313,3,2,1300,"1828 S RACINE Avenue 2 Chicago, IL 60608",445000.0
314,2,2,1650,"3150 N Lake Shore Drive 6C Chicago, IL 60657",374900.0
315,4,2,1400,"3859 W Marquette Road Chicago, IL 60629",359999.0
316,4,2,1911,"7430 S King Drive Chicago, IL 60619",339000.0
317,1,1,820,"720 N Larrabee Street 1605 Chicago, IL 60654",334900.0
318,3,1,930,"5322 N Austin Avenue Chicago, IL 60630",329999.0
319,3,1,1120,"10735 S Campbell Avenue Chicago, IL 60655",314900.0
320,2,2,919,"1334 W GREENLEAF Avenue 3D Chicago, IL 60626",285000.0
321,3,2,1188,"3705 W 69th Place Chicago, IL 60629",285000.0
322,2,2,1200,"1238 W PRATT Boulevard 1A Chicago, IL 60626",275000.0
323,1,1,812,"1844 S Michigan Avenue 201 Chicago, IL 60616",250000.0
324,5,2,1440,"10327 S Prairie Avenue Chicago, IL 60628",240000.0
325,1,1,816,"655 W Irving Park Road 5306 Chicago, IL 60613",235000.0
326,2,1,1000,"3950 N Pioneer Avenue 2 Chicago, IL 60634",210000.0
327,2,1,973,"651 N Lotus Avenue Chicago, IL 60644",200000.0
328,1,1,800,"2323 W Pershing Road 306 Chicago, IL 60609",197000.0
329,2,1,900,"7840 W NORTH Avenue 4A Elmwood Park, IL 60707",189500.0
330,2,1,1393,"8641 S Indiana Avenue Chicago, IL 60619",165000.0
331,4,2,1400,"250 W 107TH Place Chicago, IL 60628",125000.0
332,3,1,1144,"9258 S Aberdeen Street Chicago, IL 60620",110000.0
333,3,2,2190,"8918 S Francisco Avenue Evergreen Park, IL 60805",384998.0
334,5,3,2685,"6832 S Cornell Avenue Unit 1 Chicago, IL 60649",310000.0
335,2,2,1231,"1550 S Blue Island Avenue Unit 603 Chicago, IL 60608",299900.0
336,3,2,1960,"7555 S Rhodes Avenue Chicago, IL 60619",285000.0
337,2,1,1000,"6249 N Northwest Highway Unit 1S Chicago, IL 60631",184000.0
338,3,1,3780,"1515 S 61st Avenue Cicero, IL 60804",180000.0
339,3,1,900,"816 N Leamington Avenue Chicago, IL 60651",149999.0
340,3,2,2856,"9118 S Marshfield Avenue Chicago, IL 60620",320000.0
341,3,1,1200,"5037 S Drexel Boulevard Chicago, IL 60615",209999.0
342,3,3,6085,"14 W Superior Street 6700 Chicago, IL 60654",8500000.0
343,3,3,3705,"14 W Superior Street 6301 Chicago, IL 60654",4350000.0
344,2,2,2207,"14 W Superior Street 5302 Chicago, IL 60654",2000000.0
345,4,4,4341,"1709 W Carmen Avenue Chicago, IL 60640",1789000.0
346,6,4,4500,"4744 N Maplewood Avenue Chicago, IL 60625",1749000.0
347,3,2,3000,"1300 N LaSalle Drive F Chicago, IL 60610",1295000.0
348,3,3,3900,"3045 N Spaulding Avenue Chicago, IL 60618",1200000.0
349,2,2,1400,"211 N Harbor Drive 2203 Chicago, IL 60601",995000.0
350,4,3,2400,"1014 N Larrabee Street 1S Chicago, IL 60610",825000.0
351,3,2,1950,"2213 W ROSCOE Street 2 Chicago, IL 60618",724900.0
352,3,2,1885,"1101 N Hermitage Avenue 1F Chicago, IL 60622",700000.0
353,3,2,1650,"711 S Dearborn Street 505 Chicago, IL 60605",665000.0
354,5,3,2800,"3636 N Long Avenue Chicago, IL 60641",659900.0
355,3,2,2400,"5215 W Strong Street Chicago, IL 60630",578900.0
356,2,2,1500,"1617 N Hermitage Avenue 2N Chicago, IL 60622",559900.0
357,3,3,2526,"5238 W WAVELAND Avenue Chicago, IL 60641",515000.0
358,2,2,1215,"1629 S PRAIRIE Avenue 1402 Chicago, IL 60616",500000.0
